nomor;sifat;jenis;hal;tgl;user;ruang
RSSM/ND/TU/19/2025;Penting;Nota Dinas;Pengisian Kuesioner Kebutuhan Pelatihan Pengadaan Berkelanjutan;05/03/2025;Dian;TU
RSSM/ND/TU/18/2025;Penting;Nota Dinas;Instruksi Pengumpulan Zakat, Infaq, dan Sedekah Pegawai;03/03/2025;Dian;NULL
400.7.22/8621/102.9/2024 ;Penting;Surat Keterangan;SURAT KETERANGAN KEMATIAN;28/02/2025;Dian;TU
400.7/7328/102.9/2025;Penting;Surat Balasan;Pemeriksaan Kesehatan;24/02/2025;Dian;NULL
400.7/7000/102.9/2025;Penting;Surat Pengntar;Penyampaian Keputusan Gubernur Jawa Timur tentang Pengangkatan Direktur RSUD dr. Soedono;20/02/2025;Dian;NULL
900/ 6545/102.9/2025;Penting;Surat Balasan;Jawaban Permintaan Bukti Potong PPH;17/02/2025;Dian;NULL
400.7.22/2.981/102.9/2025;Rahasia;Surat Keterangan;surat keterangan diagnosa medis;14/02/2025;Dian;NULL
400.7.22/5819/102.9/2025;Rahasia;Surat Keterangan;SURAT KETERANGAN TERAPI CUCI DARAH;12/02/2025;Dian;NULL
RSSM/ND/TU/13/2025;Biasa;Nota Dinas;Pelaksanaan Apel Pagi Offline dan Pengosongan Gedung Parkir Lantai 2;12/02/2025;Dian;NULL
400.14.1/5635/102.9/2025;Penting;Surat Undangan;Undangan;11/02/2025;Dian;NULL
400.14.1/5636/102.9/2025;Penting;Surat Undangan;Undangan;11/02/2025;Dian;NULL
400.14.1/5637/102.9/2025;Penting;Surat Undangan;Undangan;11/02/2025;Dian;NULL
400.14.1/5638/102.9/2025;Penting;Surat Undangan;Undangan;11/02/2025;Dian;NULL
400.14.1/5639/102.9/2025;Penting;Surat Undangan;Undangan;11/02/2025;Dian;NULL
400.14.1/5640/102.9/2025;Penting;Surat Undangan;Undangan;11/02/2025;Dian;NULL
400.14.1/5641/102.9/2025;Penting;Surat Undangan;Undangan;11/02/2025;Dian;NULL
400.14.1/5642/102.9/2025;Penting;Surat Undangan;Undangan;11/02/2025;Dian;NULL
400.14.1/5643/102.9/2025;Penting;Surat Undangan;Undangan;11/02/2025;Dian;NULL
400.14.1/5644/102.9/2025;Penting;Surat Undangan;Undangan;11/02/2025;Dian;NULL
 400.7/ 4918 /102.9/2025 ;Penting;Surat Keterangan;Surat Keterangan Rawat Inap;06/02/2025;Dian;TU
400.7 / 4882 / 102.9 / 2025;Penting;Surat Permohonan;Permohonan Pemutusan  Meteran Listrik;05/02/2025;Dian;NULL
900/4885/102.9/2025;Rahasia;Surat Balasan;Jawaban Permintaan Bukti Potong PPH;05/02/2025;Dian;NULL
800.1/51365/102.9/2024;Segera;Lain-lain;Pemberitahuan Penyampaian Jadwal Dinas Dokter RSUD dr. Soedono;31/01/2025;Dian;NULL
400.7/1.446/102.9/2025;Biasa;Nota Dinas;Penyampaian laporan hasil pelaksanaan Survei Internal Akreditasi;30/01/2025;Dian;TU
RSSM/ND/TU/11/2025;Penting;Nota Dinas;Penyelenggaraan Pelayanan Publik pada Libur Isra Mikraj dan Tahun Baru Imlek Tahun 2025;24/01/2025;Dian;NULL
RSSM/ND/TU/ 10 /2025;Penting;Nota Dinas;Rekomendasi Hasil Laporan Komite K3RS Semester II Tahun 2024;24/01/2025;Dian;NULL
RSSM/ND/TU/12/2025;Penting;Nota Dinas;Samsat Keliling di Lingkungan RSUD dr. Soedono Tahun 2025;24/01/2025;Dian;NULL
400.7/8629/102.9/2025;Rahasia;Berita Acara;BERITA ACARA PENGEMBALIAN KERUGIAN;24/01/2025;Dian;NULL
RSSM/ND/TU/9/2025;Penting;Nota Dinas;Pemberitahuan Kredit Multiguna Lasik Rumah Sakit Mata Masyarakat Jawa Timur;23/01/2025;Dian;NULL
400.7.22/2.981/102.9/2025;Rahasia;Surat Keterangan;SURAT KETERANGAN DIAGNOSA DAN KRONOLOGI KEMATIAN;23/01/2025;Dian;NULL
500.12.18.1/2564/102.9 /2025;Biasa;Surat Balasan;Penyampaian Data PPID Pelaksana RSUD dr. Soedono Provinsi Jawa Timur;21/01/2025;Dian;NULL
100.3.7.1 / 2.078 / 102.9 / 2024;Penting;Surat Pengntar;Perjanjian Kerjasama Antara PT. Saba Indomedika Surabaya Dengan RSUD dr. Soedono Provinsi Jawa Timur Tentang Penggunaan Alat Kesehatan Hematology Analyzer Sysmex XN1000B1 di Instalasi Laboratorium Terpadu;17/01/2025;Dian;NULL
RSSM/ND/TU/2/2025;Biasa;Nota Dinas;Penyampaian Pelaksanaan Anggaran Transfer ke Daerah TA 2025;17/01/2025;Dian;TU
 400.7.22/1.916/102.9/2025;Penting;Surat Keterangan;surat keterangan diagnosa;16/01/2025;Dian;NULL
400.7/1236/102.9/2025 ;Penting;Surat Keterangan;pernah memperoleh perawatan di RSUD dr. Soedono tahun pada 2021 s.d. tahun 2024 dengan diagnosa hemofilia d;14/01/2025;Dian;NULL
400.7.22 /1.582 /102.9/2025;Rahasia;Surat Keterangan;surat keterangan Bahwa yang bersangkutan merupakan Dokter Penanggung Jawab Pasien (DPJP) di Tim Pelayanan Pasien Covid19 sejak tanggal 4 Januari 2021 di RSUD dr. Soedono.;14/01/2025;Dian;NULL
400.7.22/ 1.403 /102.9/2025;Penting;Surat Balasan;Permohonan Surat Keterangan a.n. Suprapto;13/01/2025;Dian;NULL
 400.7.22/ 1.416 /102.9/2024;Penting;Surat Keterangan;SURAT KETERANGAN DIAGNOSA;13/01/2025;Dian;NULL
700.1/1413/102.9/2025;Penting;Lain-lain; Laporan Realisasi Anggaran Tahun 2024;13/01/2025;Dian;NULL
700.1/1413/102.9/2025;Rahasia;Lain-lain; Laporan Realisasi Anggaran Tahun 2024 Laporan Realisasi Anggaran Tahun 2024 ;13/01/2025;Dian;NULL
500.7/ 51002 /102.9/2024;Penting;Surat Balasan;Tindak Lanjut Pelayanan Hemofilia;27/12/2024;Dian;NULL
800.1 / 50976 / 102.9 / 2024;Segera;Surat Balasan;Jawaban Persetujuan Praktik Dokter;27/12/2024;Dian;NULL
800.1 / 50978 / 102.9 / 2024;Segera;Lain-lain;Pemberitahuan Jadwal Dinas Dokter RSUD dr. Soedono Provinsi Jawa Timur;27/12/2024;Dian;NULL
800.1 / 50979 / 102.9 / 2024;Segera;Lain-lain;Pemberitahuan Jadwal Dinas Dokter RSUD dr. Soedono Provinsi Jawa Timur;27/12/2024;Dian;NULL
800.1 / 50980 / 102.9 / 2024;Segera;Lain-lain;Pemberitahuan Jadwal Dinas Dokter RSUD dr. Soedono Provinsi Jawa Timur;27/12/2024;Dian;NULL
800.1 / 50981 / 102.9 / 2024;Segera;Lain-lain;Pemberitahuan Jadwal Dinas Dokter RSUD dr. Soedono Provinsi Jawa Timur;27/12/2024;Dian;NULL
800.1 / 50982 / 102.9 / 2024;Segera;Lain-lain;Pemberitahuan Jadwal Dinas Dokter RSUD dr. Soedono Provinsi Jawa Timur;27/12/2024;Dian;NULL
800.1 / 50983 / 102.9 / 2024;Segera;Lain-lain;Pemberitahuan Jadwal Dinas Dokter RSUD dr. Soedono Provinsi Jawa Timur;27/12/2024;Dian;NULL
400.7/50607/102.9/2024;Penting;Nota Dinas;Permohonan Informasi Data Riwayat Kunjungan Pasien an. Buqor;24/12/2024;Dian;NULL
000.2.5/ 50.425 /102.9/2024;Penting;Surat Balasan;Usulan Pejabat Pengelola BMD Tahun 2025;23/12/2024;Dian;NULL
000.2.5/ 50.425 /102.9/2024;Penting;Lain-lain;Usulan Pejabat Pengelola BMD Tahun 2025;23/12/2024;Dian;NULL
100.3.7.1 / 50.088 / 102.9 / 2024;Penting;Surat Pengntar;Perjanjian Kerjasama Antara PT. Saba Indomedika Dengan RSUD dr. Soedono Provinsi Jawa Timur Tentang Penggunaan Alat Pneumatic Tube Transport System Merk Hunter IT Di Laboratorium Terpadu RSUD dr. Soedono Provinsi Jawa Timur Tahun 2025;19/12/2024;Dian;NULL
100.3.7.1 / 50.088 / 102.9 / 2024;Penting;Surat Pengntar;Perjanjian Kerjasama Antara PT. Saba Indomedika Dengan RSUD dr. Soedono Provinsi Jawa Timur Tentang Penggunaan Alat Pneumatic Tube Transport System Merk Hunter IT Di Laboratorium Terpadu RSUD dr. Soedono Provinsi Jawa Timur Tahun 2025;19/12/2024;Dian;NULL
400.7.22.1/49866/102.9/2024;Penting;Surat Pengntar;SURAT PENGANTAR KETERANGAN DIAGNOSA MEDIS;18/12/2024;Dian;NULL
400.7.22.1 / 49866 /102.9/2024;Penting;Surat Pengntar;SURAT KETERANGAN DIAGNOSA;18/12/2024;Dian;NULL
400.7.22/ 48.359 /102.9/2024;Penting;Surat Keterangan;Surat Keterangan Kematian;09/12/2024;Dian;NULL
400.7/47441/102.9/2024;Biasa;Surat Permohonan;Permohonan Easy Passport;03/12/2024;Dian;TU
900/46.318/102.9/2024;Penting;Lain-lain;Usulan Pengelola Keuangan TA 2025;28/11/2024;Dian;NULL
RSSM/ND/TU/171/2024;Penting;Nota Dinas;Laporan Alih Pemanfaatan Alat Autoclave / Steam Sterilizer;25/11/2024;Dian;NULL
100.3.7.1 / 44.527 /102.9/ 2024;Penting;Surat Pengntar;Perjanjian Kerja Sama Antara PT. Samator Indo Gas Tbk Dengan RSUD dr. Soedono Provinsi Jawa Timur Tentang Penempatan Tangki Oksigen Cair Di Lingkungan RSUD dr. Soedono Provinsi Jawa Timur;19/11/2024;Dian;NULL
500.7/44488/102.9/2024;Penting;Surat Balasan;Tindak Lanjut Pelayanan Hemofolia;18/11/2024;Dian;NULL
100.3.7.1 / 43.771 /102.9/ 2024;Penting;Surat Pengntar;Perjanjian Kerjasama Antara PT. Nusa Triutama Dengan RSUD dr. Soedono Provinsi Jawa Timur Tentang Penggunaan Alat Kesehatan Hematology Analyser Type Cell Dyn Ruby Merk AbbottUsa Di Instalasi Laboratorium Terpadu RSUD dr. Soedono Provinsi Jawa Timur;15/11/2024;Dian;NULL
100.3.7.1 / 40.790 /102.9/ 2024;Penting;Surat Pengntar;Surat Pengantar Addendum Perjanjian Kerjasama Antara PT. Saba Indomedika Dengan RSUD dr. Soedono Provinsi Jawa Timur Tentang Penggunaan Alat Pneumatic Tube Transport System Merk Hunter IT di Laboratorium Terpadu RSUD dr. Soedono Provinsi Jawa Timur;29/10/2024;Dian;NULL
100.3.7.1/40697/102.9/2024;Penting;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Rumah Sakit Umum Darmayu Ponorogo dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Rujukan Pasien;28/10/2024;Dian;NULL
400.7/40.292/102.9/2024;Penting;Surat Balasan;Persetujuan sebagai Rumah Sakit Rujukan;24/10/2024;Dian;NULL
400.7.22/39.403/102.9/2024;Penting;Surat Keterangan;Surat Keterangan  benarbenar dirawat di RSUD dr. Soedono;21/10/2024;Dian;NULL
700.1.2.7/39386/102.9/2024;Segera;Lain-lain;Penyampaian Rekapitulasi Laporan Tindakan Gratifikasi dan Sponsorship Triwulan III Tahun 2024;21/10/2024;Dian;NULL
100.3.7.1 / 39385 I 102.9 I 2024;Penting;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara PT Nusa Karya Mulya Medika dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Layanan Sterilisasi Produk Jadi.;21/10/2024;Dian;NULL
000.3/ 34358 /102.9/2024 ;Penting;Lain-lain;Pengembalian Semula Pejabat Pengadaan RSUD dr. Soedono ;19/10/2024;Dian;NULL
400.7/38.836/102.9/2024;Segera;Surat Balasan;Hasil Pengujian Kesehatan a.n. Prasetyo;17/10/2024;Dian;NULL
100.3.7.1/38967/102.9/2024;Penting;Surat Pengntar;Surat Pengantar Addendum Perjanjian Kerja Sama antara Fakultas llmu Kesehatan UniversitasAisyiyah Yogyakarta dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelaksanaan Tri Dharma Perguruan Tinggi dalam lmplementasi Merdeka Belajar Kampus Merdeka serta Pemberdayaan Lulusan.;17/10/2024;Dian;NULL
100.3.7.1/38845/102.9/2024;Penting;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Fakultas llmu Komputer Universitas Brawijaya dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelaksanaan Prakik Kerja Lapangan.;17/10/2024;Dian;NULL
400.7/38.521/102.9/2024;Penting;Surat Permohonan;Permohonan Data Rekam Medis Pasien;16/10/2024;Dian;NULL
100.3.7.1/ 37976/102.9/2024;Penting;Surat Pengntar;Surat Pengantar Addendum Perjanjian Kerja Sama antara PT Swakarya Sinar Sejahtera dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pengelolaan Parkir di Lingkungan RSUD dr. Soedono Provinsi Jawa Timur;14/10/2024;Dian;NULL
RSSM/ND/TU/142/2024;Penting;Nota Dinas;Efisiensi Penggunaan Listrik dan Air di Lingkungan RSUD dr. Soedono;10/10/2024;Dian;NULL
400.7/ 37270 /102.9/2024;Penting;Surat Balasan;Penyampaian Salinan Data RM  dan Register Pasien a.n. HAA;08/10/2024;Dian;NULL
400.7/ 37270 /102.9/2024;Rahasia;Surat Permohonan;Penyampaian Salinan Data RM  dan Register Pasien a.n. HAA;08/10/2024;Dian;NULL
400.7/ 36.902 /102.9/2024;Penting;Surat Permohonan;Permohonan Pemindahan Listrik Ex ATM;07/10/2024;Dian;NULL
400.7.22/ 36.586 /102.9/2024;Penting;Surat Keterangan;Surat Keterangan Perawatan ;03/10/2024;Dian;NULL
RSSM/ND/TU/138/2024;Penting;Nota Dinas;Informasi Pindah Tempat Sementara Bidang Diklit;01/10/2024;Dian;NULL
RSSM/ND/TU/137/2024;Penting;Nota Dinas;Permohonan Izin Pindah Tempat;01/10/2024;Dian;NULL
100.3.7.1/35977/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara Kantor lmigrasi Kelas ll Non TPI Madiun dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Penyelenggaraan Kegiatan Pelayanan Keimigrasian dan Pelaporan Warga Negara Asing pada RSUD dr. Soedono Provinsi Jawa Timur.;30/09/2024;Dian;NULL
RSSM/ND/K3RS/29/2024;Penting;Nota Dinas;Laporan Insiden ;30/09/2024;Dian;NULL
400.7/35152/102.9/2024 ;Segera;Surat Balasan;Penyampaian Tindak Lanjut Hasil Visitasi Cathlab;25/09/2024;Dian;TU
0;Penting;Surat Balasan;Surat Balasan Keterangan meninggal dunia;20/09/2024;Dian;NULL
400.7/34450/102.9/2024 ;Segera;Surat Permohonan;Permohonan Penambahan Kuota Phacoemulsifikasi;20/09/2024;Dian;TU
400.7.22/34.458/102.9/2024;Penting;Surat Keterangan;Surat Keterangan bersangkutan benar–benar Sakit dan di diagnose CVA infark;20/09/2024;Dian;NULL
400.7.22/34.459/102.9/2024;Penting;Surat Keterangan;Surat Keterangan Perawatan;20/09/2024;Dian;NULL
700.1.2.7/34150/102.9/2024;Penting;Surat Balasan;Usulan Admin UPG Pembantu RSUD dr. Soedono;18/09/2024;Dian;NULL
 400.7.22/33.060/102.9/2024;Penting;Surat Keterangan;Surat Keterangan Meninggal Dunia;10/09/2024;Dian;NULL
100.3.7.1/32.855/102.9/2024;Penting;Surat Pengntar;Addendum Kesatu ( Ke – 1 ) Perjanjian Kerjasama Antara Kpri Husada Sejahtera Dengan RSUD dr. Soedono Provinsi Jawa Timur Tentang Pemakaian Lahan di Lingkungan Rsud dr. Soedono Provinsi Jawa Timur;09/09/2024;Dian;NULL
100.3.7/32853/102.9/2024;Penting;Surat Balasan;Identifikasi Usulan Kerja Sama Tahun 2025;09/09/2024;Dian;NULL
100.3.7.1/28683/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara Fakultas llmu Komputer Universitas Brawijaya dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelaksanaan Praktik Kerja Lapangan.;04/09/2024;Dian;NULL
100.3.7.1/32319/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara RSUD dr. Sayidiman Magetan dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Kegiatan Kredensial Tenaga Dokter.;04/09/2024;Dian;NULL
500.12/32503/102.9/2024;Penting;Lain-lain;Surat Pernyataan Direktur untuk Keikutsertaan JPRA;04/09/2024;Dian;TU
400.7.22/32.195/102.9/2024;Penting;Surat Keterangan;SURAT KETERANGAN MEDIS DAN KRONOLOGI KEMATIAN;03/09/2024;Dian;NULL
400.7/ 32.234/102.9/2024;Penting;Surat Pengntar;Hasil Pengujian Kesehatan a.n. Mukhit;03/09/2024;Dian;NULL
400.7/32330/102.9/2024;Segera;Surat Balasan;Jawaban Tindak Lanjut Pengajuan Cathlab;03/09/2024;Dian;TU
700.1.1.1/ 32140 /102.9/2024;Penting;Surat Permohonan;Permohonan Bantuan  Pendampingan Hukum;02/09/2024;Dian;NULL
000.3/321.39/102.9/2024 ;Penting;Surat Permohonan;Usulan Pengganti Sementara Pejabat Pengadaan Pada RSUD dr. Soedono;02/09/2024;Dian;NULL
400.7/31975/102.9/2024;Segera;Surat Balasan;Jawaban Tindak Lanjut Pengajuan Cathlab;30/08/2024;Dian;NULL
100.3.7.1/31494/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara Unit Donor Darah PMI Kota Madiun dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Transfusi Darah di Bank Darah RSUD dr. Soedono Provinsi Jawa Timur.;28/08/2024;Dian;NULL
100.3.7.1/31496/102.9/2024;Penting;Surat Pengntar;Nota Kesepahaman (MoU) antara RSUD dr. Soedono Provinsi Jawa Timur dengan RSUD Sumberglagah (Unit Organisasi Menu.iu Wilayah Bebas dari Korupsi (WBK)) tentang Replikasi Pembangunan Zona lntegritas (ZD Menuju WBK/WBBM,;28/08/2024;Dian;NULL
400.12.3.1/31.493/102.9/2024;Penting;Surat Pengntar;Tindak Lanjut Lebih Kurang Bayar Klaim Insulin;28/08/2024;Dian;NULL
400.12.3.1/31.497/102.9/2024;Penting;Surat Pengntar;Tindak Lanjut Keluhan Peserta JKN;28/08/2024;Dian;NULL
400.7.22/31.495/102.9/2024;Penting;Surat Keterangan;menjalani terapi rutin cuci darah (hemodialisa) dengan jadwal setiap hari Senin dan Kamis;28/08/2024;Dian;NULL
100.3.7.1/31321/102.9/2024;Penting;Surat Pengntar;Unit Donor Darah PMI Kota Madiun Jln. Bali Nomor 41 Kota Madiun ;27/08/2024;Dian;NULL
100.3.7.1/31324/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara RSUD dr. Soedono Provinsi Jawa Timur dengan Sekolah Luar Biasa BC Dharma Wanita Kota Madiun tentang Pelayanan Penerjemah Bahasa lsyarat.;27/08/2024;Dian;NULL
100.3.7.1/30822/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara Stikes Pemkab Jombang dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Kegiatan Merdeka Belajar Kampus Merdeka Stikes Pemkab Jombang dri RSUD dr. Soedono Provinsi Jawa Timur.;23/08/2024;Dian;NULL
1 00.3.7.1/30573/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara Yayasan Kesehatan Pertamina dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Kesehatan bagi Pegawai Yayasan Kesehatan Pertamina;21/08/2024;Dian;NULL
400.7/30.148/102.9/2024;Penting;Surat Pengntar;Hasil Pemeriksaan Kejiwaan a.n. Sulistyo Ningsih;20/08/2024;Dian;NULL
RSSM/ND/PEG/147/2024;Penting;Nota Dinas;Pelaksana Harian (Plh) Kepala Bagian Keuangan dan Akuntansi  RSUD dr. Soedono Provinsi Jawa Timur;20/08/2024;Dian;NULL
RSSM/ND/PEG/146/2024;Penting;Nota Dinas; Pelaksana Harian (Plh) Kepala Bidang Penunjang  RSUD dr. Soedono Provinsi Jawa Timur;20/08/2024;Dian;NULL
100.3.7.1/29695/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara Universitas Widya Husada Semarang dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelaksanaan Tri Dharma Perguruan Tinggi;16/08/2024;Dian;NULL
100.3.7.1/29296/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara Pertamina Bina Medika IHC dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Kesehatan;16/08/2024;Dian;NULL
400.12.3.1/28.979/102.9/2024;Penting;Surat Pengntar;Hasil Audit Kematian By.Ny. Sulistya Dwi;12/08/2024;Dian;NULL
100.3.7.1/28485/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara PT. Alat Bantu Dengar Indonesia dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Pengadaan dan Perawatan Alat Bantu Dengar;07/08/2024;Dian;NULL
000.1.11/27540/102.9/2024;Penting;Lain-lain;Teguran Kerusakan Mesin Portal di Area Parkir;01/08/2024;Dian;NULL
000.1.11/27540/102.9/2024;Penting;Lain-lain;Teguran Kerusakan Mesin Portal di Area Parkir;01/08/2024;Dian;NULL
 100.3.7.1/27334/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara Universitas Katolik Soegijapranata dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelaksanaan Kerja Praktik/ Magang untuk Mahasiswa.;31/07/2024;Dian;NULL
100.3.7.1/27334/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara Universitas Katolik Soegijapranata dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelaksanaan Kerja Praktik/ Magang untuk Mahasiswa.;31/07/2024;Dian;NULL
100.3.7.1/27100/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara PT Asuransi Ramayana Tbk dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pemberian Pelayanan Kesehatan bagi Peserta ASKES dan Coordination of Benefit  BPJS Kesehatan.;30/07/2024;Dian;NULL
 100.3.7.1/27102/102.9/2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara PT Asuransi Jiwa lnhealth lndonesia dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Pelayanan Kesehatan dan Obat bagi Peserta Asuransi Kesehatan PT Asuransi Jiwa lnhealth lndonesia.;30/07/2024;Dian;NULL
100.3.7.1 / 26762 / 102.9 / 2024;Penting;Surat Pengntar;Nota Kesepahaman (MoU) antara RSUD dr. Soedono Provinsi Jawa Timur dengan UPT Pelabuhan Perikanan Pantai Bulu Tuban Tuban dan UPT Cabang Dinas Kelautan dan Perikanan Kabupaten Tuban ;29/07/2024;Dian;NULL
1 00.3.7.1/26557 I 102.912024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara Ketua Komisi Penanggulangan HIV AIDS Daerah Kabupaten Madiun dengan RSUD dr. Soedono Provinsi Jawa Timur tentang Program Pencegahan dan Penanggulangan HIV dan AIDS di Kabupaten Madiun.;26/07/2024;Dian;NULL
100.3.7.1 / 25786 / 102.9 / 2024;Penting;Surat Pengntar;Perjanjian Kerja Sama antara RSUD dr. Soedono Provinsi Jawa Timur dengan Biro Keuangan Sekretariat Jenderal (Unit Organisasi Menuju Wilayah Bebas dari Korupsi (WBK)) tentang Replikasi Pembangunan Zona Integritas (ZI) Menuju WBK/WBBM;22/07/2024;Dian;NULL
